RS001,Beograd,Novi Sad,2023-11-10,08:00,10:30,3,1000.0,50
RS002,Niš,Kragujevac,2023-11-12,07:30,09:45,2,800.0,35
RS011,Novi Sad,Beograd,2023-11-10,14:00,16:30,4,1000.0,45
RS003,Novi Sad,Novi Pazar,2023-11-15,09:15,17:45,1,1500.0,20
RS002,Kragujevac,Niš,2023-11-12,13:45,16:00,3,650.0,19
RS004,Krusevac,Niš,2023-11-12,13:45,16:00,3,900.0,20
RS005,Niš,Kragujevac,2023-11-12,13:45,16:00,3,500.0,30
RS006,Niš,Krusevac,2023-11-12,13:45,16:00,3,800.0,15
RS007,Subotica,Novi Pazar,2023-11-12,13:45,16:00,3,1200.0,30
RS008,Beograd,Vranje,2023-11-12,13:45,16:00,3,1000.0,24
RS009,Vranje,Beograd,2023-11-12,13:45,16:00,3,800.0,60
